NLS Key,Transfer Action,Hindi,Hindi - Engg,English,English - Engg,,,Tamil,Tamil - Engg,Telugu,Telugu - Engg
INTRODUCTION_GREETING_1,,"नमस्कार, health Insurance Policy renewal के लिए {{.policy_amount}} रुपए का payment {{.due_dat}} तारीख को due है। क्या मैं जान सकती हूँ की आप कब तक यह payment कर पाएंगे ?",,Hello! A payment of {{.policy_amount}} rupees for the renewal of your health insurance policy is due on {{.due_dat}}. Please tell me when you will be able to make the payment?,,,,,,,
INTRODUCTION_REPEAT_1,,आपकी health Insurance Policy के renewal के लिए {{.policy_amount}} रुपए का  payment {{.due_dat}} तारीख को due है। क्या मैं जान सकती हूँ की आप कब तक यह payment कर सकेंगे?,,The renewal payment of {{.policy_amount}} rupees for your policy is due on {{.due_dat}}. May I know by when you can make the payment?,,,,,,,
INTRODUCTION_REPEAT_2,,क्या मैं जान सकती हूँ की आप renewal के लिए {{.policy_amount}} रुपय का payment कब तक कर पाएंगे?,,"Your renewal payment of {{.policy_amount}} rupees is due on {{.due_dat}}.  So, when can you make the payment?",,,,,,,
INTRODUCTION_SILENCE_1,,क्या मैं जान सकती हूँ की आपकी health Insurance Policy के renewal के लिए {{.policy_amount}} रुपए की राशि जो {{.due_dat}} को due है आप कब तक जमा कर पाएंगे ?,,May I know by when you can make the renewal payment of {{.policy_amount}} rupees for your health insuarance policy due on {{.due_dat}}?,,,,,,,
INTRODUCTION_SILENCE_2,,क्या मैं जान सकती हूँ की आप कब तक यह पpayment कर सकेंगे?,,May I know by when you make your renewal payment?,,,,,,,
INTRODUCTION_OOS_1,,"मुझे खेद है की मैं इसका सही उत्तर नहीं दे पाऊँगी। आपकी मदद करने के लिए, हमारे expert जल्द ही आपसे संपर्क करेंगे।",,"Unfortunately, I cannot answer this. To help you, our expert will get in touch with you soon.",,,,,,,
INTRODUCTION_OOD_1,,कृपया क्या आप फिर से बता सकते हैं?,,Can you please repeat that?,,,,,,,
PAYMENT_MODE_DATE_1,,बढ़िया! तो आप {{.payment_date_formatted}} को payment करेंगे। क्या यह सही है?,,"Great! So, you'll be able to make the payment on {{.payment_date_formatted}}. Is that correct?",,,,,,,
PAYMENT_MODE_DATE_GREETING_1,,"नमस्कार, मैं yeh पूछ रही हूँ की आप {{.payment_date_formatted}} को pay करेंगे। क्या यह सही है ?",,"Hello, I am asking if you'll make the payment on {{.payment_date_formatted}}. Is that correct?",,,,,,,
PAYMENT_MODE_DATE_REPEAT_1,,कृपया बताएं क्या आप {{.payment_date_formatted}} को pay करेंगे?,,Please tell me do you wish to make the payment {{.payment_date_formatted}}.,,,,,,,
PAYMENT_MODE_DATE_REPEAT_2,,"क्या आप {{.payment_date_formatted}} को pay करेंगे? कृपया ""हाँ"" या ""नहीं"" में जवाब दे। ",,"May I know if you wish to make the payment {{.payment_date_formatted}}. Please say ""yes"" or ""no"".",,,,,,,
PAYMENT_MODE_DATE_SILENCE_1,,"अगर आप {{.payment_date_formatted}} को pay करेंगे तो कहिये ""हाँ"", वार्ना कहिये ""नहीं "".",,"If you'll make the payment by {{.payment_date_formatted}}, say ""yes"" otherwise say ""no"".",,,,,,,
PAYMENT_MODE_DATE_SILENCE_2,,"क्या आप {{.payment_date_formatted}} को pay करेंगे? कृपया ""हाँ"" या ""नहीं"" में जवाब दे। ",,"May I know if you wish to make the payment {{.payment_date_formatted}}. Please say ""yes"" or ""no"".",,,,,,,
PAYMENT_MODE_DATE_OOS_1,,"मुझे खेद है की मैं इसका सही उत्तर नहीं दे पाऊँगी। आपकी मदद करने के लिए, हमारे expert जल्द ही आपसे संपर्क करेंगे।",,"Unfortunately, I cannot answer this. To help you, our expert will get in touch with you soon.",,,,,,,
PAYMENT_MODE_DATE_OOD_1,,कृपया क्या आप फिर से बता सकते हैं?,,Can you please repeat that?,,,,,,,
HANGUP_SUCCESSFUL_INVALID_SMS_1,,ठीक है! मैं सारे payment  links आपको भेज देती हूँ। जिनमे से आप पसंदीदा option चुन सकते हैं। आपके समय के लिए धन्यवाद । आपका दिन शुभ हो!,,Alright! I am sharing all available payment links that you can choose from to make your payment. Thank you for your time. Have a good day!,,,,,,,
HANGUP_SUCCESSFUL_NO_DATE_SMS_1,,"ठीक है, कृपया due date से पहले अपनी policy renew कर लें ताकि आपको {{.discontinuation_charge}} रुपये के discontinuation charges ना भरने पड़े। मैं आपके नंबर पर payment link S M S कर दूंगी। आपके समय के लिए धन्यवाद । आपका दिन शुभ हो!",,"Okay, to avoid the discontinuation charges of rupees {{.discontinuation_charge}} please complete the renewal process before the due date. For your ease, I'll message the payment links. Thank you for your time. Have a good day!",,#REF!,#REF!,,,,
HANGUP_SUCCESSFUL_ID_NO_CALLBACK_SMS_1,,"ठीक है, कृपया due date से पहले अपनी policy renew कर लें ताकि आपको {{.discontinuation_charge}} रुपये के discontinuation charges ना भरने पड़े। मैं आपके नंबर पर payment link S M S कर दूंगी। आपके समय के लिए धन्यवाद । आपका दिन शुभ हो!",,"Okay, to avoid the discontinuation charges of rupees {{.discontinuation_charge}} please complete the renewal process before the due date. For your ease, I'll message the payment links. Thank you for your time. Have a good day!",,#REF!,#REF!,,,,
HANGUP_SUCCESSFUL_OFFLINE_SMS_1,,ठीक है! Policy renewal को पूरा करने के लिए कृपया हमारी नज़दीकी branch में जाके due date से पहले payment kar दे। आपके समय के लिए धन्यवाद । आपका दिन शुभ हो!,,Alright! Kindly visit our nearest branch to complete the renewal process before the due date. Thank you for your time. Have a good day!,,,,,,,
PAYMENT_DATE_INVALID_CONFIRMATION_1,,"ठीक है, मैं आपको सूचित करना चाहती हूं कि आपकी policy {{policy_expiry_date}} को समाप्त हो जाएगी| क्या आप उससे पहले reminder call चाहेंगे?",,"Okay, I would like to inform you that your policy will expire on {{.policy_expiry_date}}? Would you like to set a reminder call for this?",,,,,,,
PAYMENT_DATE_INVALID_CONFIRMATION_GREETING_1,,"Hello, मैं कह रही थी कि आपकी policy {{policy_expiry_date}} को समाप्त हो जाएगी| क्या आप उससे पहले reminder call चाहेंगे? ",,"Hello, I was saying that your policy will expire on {{.policy_expiry_date}}? Would you like to set a reminder call for this?",,,,,,,
PAYMENT_DATE_INVALID_CONFIRMATION_REPEAT_1,,जी मैं आपको सूचित करना चाहती हूं कि आपकी policy {{policy_expiry_date}} को समाप्त हो जाएगी| क्या आप उससे पहले reminder call चाहेंगे?,,I was saying that your policy will expire on {{.policy_expiry_date}}? Would you like to set a reminder call for this?,,,,,,,
PAYMENT_DATE_INVALID_CONFIRMATION_REPEAT_2,,कृपया बताएं क्या आप policy renewal के लिए reminder call चाहेंगे?,,Would you like to set a reminder call for the renewal?,,,,,,,
PAYMENT_DATE_INVALID_CONFIRMATION_SILENCE_1,,"आपकी policy {{policy_expiry_date}} को समाप्त हो जाएगी| यदि आप उससे पहले reminder call चाहते है तो कहिये ""हाँ"" वार्ना कहिये ""नहीं "".",,"I was saying that your policy will expire on {{.policy_expiry_date}}? If you want set a reminder call for this say ""yes"" otherwise say ""no""? ",,,,,,,
PAYMENT_DATE_INVALID_CONFIRMATION_SILENCE_2,,कृपया बताएं क्या आप policy renewal के लिए reminder call चाहेंगे?,,Would you like to set a reminder call for the renewal?,,,,,,,
PAYMENT_DATE_INVALID_CONFIRMATION_OOS_1,,"मुझे खेद है की मैं इसका सही उत्तर नहीं दे पाऊँगी। आपकी मदद करने के लिए, हमारे expert जल्द ही आपसे संपर्क करेंगे।",,"Unfortunately, I cannot answer this. To help you, our expert will get in touch with you soon.",,,,,,,
PAYMENT_DATE_INVALID_CONFIRMATION_OOD_1,,कृपया क्या आप फिर से बता सकते हैं?,,Can you please repeat that?,,,,,,,
PAYMENT_ALREADY_MADE_1,,"ठीक है, तो आपने पॉलिसी नंबर {{.policy_number}} का renewal payment  पहले ही कर दिया है। क्या यह सही है?",,"Okay, so you have already made the renewal payment for policy number ending with {{.policy_number}}. Is that correct?",,,,,,,
PAYMENT_ALREADY_MADE_GREETING_1,,नमस्कार! मैं confirm करना चाह रही थी की क्या अपने अपनी पालिसी {{.policy_number}} का renewal payment  कर दिया है?,,"Hello, I was confirming if you have already paid the renewal payment for the policy number ending with {{.policy_number}}?",,,,,,,
PAYMENT_ALREADY_MADE_REPEAT_1,,कृपया मुझे बताएं की क्या आपने अपनी पालिसी {{.policy_number}} का renewal payment  कर दिया है?,,Please tell me if if you have already paid the renewal payment for the policy number ending with {{.policy_number}}?,,,,,,,
PAYMENT_ALREADY_MADE_REPEAT_2,,तो आपने अपनी पॉलिसी नंबर {{.policy_number}} का renewal payment  पहले ही कर दिया है। क्या यह सही है?,,"So, you have completed the renewal payment for the policy number ending with {{.policy_number}}. Is this right? ",,,,,,,
PAYMENT_ALREADY_MADE_SILENCE_1,,क्या आप अपनी पालिसी {{.policy_number}} का renewal payment  कर चुके हैं?,,Have you already completed the renewal payment for the policy number ending with {{.policy_number}}?,,,,,,,
PAYMENT_ALREADY_MADE_SILENCE_2,,"अगर आपकी पालिसी renew हो चुकी है तो कहिये ""YES"" यदि नहीं तो कहिये ""NO""",,"Please say ""yes"" if this policy is already renewed, otherwise say ""no"".",,,,,,,
PAYMENT_ALREADY_MADE_OOS_1,,"मुझे खेद है की मैं इसका सही उत्तर नहीं दे पाऊँगी। आपकी मदद करने के लिए, हमारे expert जल्द ही आपसे संपर्क करेंगे।",,"Unfortunately, I cannot answer this. To help you, our expert will get in touch with you soon.",,,,,,,
PAYMENT_ALREADY_MADE_OOD_1,,कृपया क्या आप फिर से बता सकते हैं?,,Can you please repeat that?,,,,,,,
PAYMENT_ALREADY_MADE_MODE_1,,ठीक है! क्या आप मुझे बता सकते हैं की payment  online हुआ था या offline ?,,Got it. Please tell me if the payment was made online or offline?,,,,,,,
PAYMENT_ALREADY_MADE_MODE_GREETING_1,,नमस्कार! मैं पूछ रही थी की payment  online था या offline ?,,"Hello, I was asking was the payment made  online or offline?",,,,,,,
PAYMENT_ALREADY_MADE_MODE_REPEAT_1,,कृपया मुझे बताएं की payment  online था या offline ?,,Please tell me if you made an online payment or an offline payment.,,,,,,,
PAYMENT_ALREADY_MADE_MODE_REPEAT_2,,"अगर आपने नज़दीकी शाखा जाकर cheque या cash के माध्यम से payment  किया है तो कहिये ""offline"" यदि नहीं तो कहिये ""online""    ",,"If you visited the branch or paid using a cheque or cash say ""offline"", otherwise say ""online"".",,,,,,,
PAYMENT_ALREADY_MADE_MODE_SILENCE_1,,क्या आप मुझे बता सकते हैं की अपने नज़दीकी शाखा जाकर payment  किया है या online? ,,Can you please tell me if you visited our branch to make the payment or paid it online.,,,,,,,
PAYMENT_ALREADY_MADE_MODE_SILENCE_2,,"अगर आपने नज़दीकी शाखा जाकर cheque या cash के माध्यम से payment  किया है तो कहिये ""offline"" यदि नहीं तो कहिये ""online""    ",,"If you paid using cheque or cash then say ""offline"" otherwise say ""online"".",,,,,,,
PAYMENT_ALREADY_MADE_MODE_OOS_1,,"मुझे खेद है की मैं इसका सही उत्तर नहीं दे पाऊँगी। आपकी मदद करने के लिए, हमारे expert जल्द ही आपसे संपर्क करेंगे।",,"Unfortunately, I cannot answer this. To help you, our expert will get in touch with you soon.",,,,,,,
PAYMENT_ALREADY_MADE_MODE_OOD_1,,कृपया क्या आप फिर से बता सकते हैं?,,Can you please repeat that?,,,,,,,
PAYMENT_ALREADY_MADE_DATE_1,,"क्या मैं payment  की date, जान सकती हूँ | जैसे की आप कह सकते हैं 1st January {{.current_year}} |  ",,"Okay, and please tell me the date on which the payment was made. For example first january {{.current_year}}.",,,,,,,
PAYMENT_ALREADY_MADE_DATE_GREETING_1,,नमस्कार! क्या आप payment  की date बता कर मेरी सहायता करेंगे? जैसे की आप कह सकते हैं 1st January {{.current_year}},,"Hello, can you please help me with the date of payment? Example first january {{.current_year}}.",,,,,,,
PAYMENT_ALREADY_MADE_DATE_REPEAT_1,,क्या आप payment  की date बता कर मेरी सहायता करेंगे? जैसे की आप कह सकते हैं 1st January {{.current_year}},,Can you please help me with the date of payment in the format of date month and year? Example first january {{.current_year}}.,,,,,,,
PAYMENT_ALREADY_MADE_DATE_REPEAT_2,,"कृपया payment  की date, दिन, महीना  और साल के format में बताएं| जैसे की आप कह सकते हैं 1st January {{.current_year}}",,"Please state the payment date in the date, month and year format. Like first january {{.current_year}}.",,,,,,,
PAYMENT_ALREADY_MADE_DATE_SILENCE_1,,"क्या मैं payment  की date, जान सकती हूँ | जैसे की आप कह सकते हैं 1st January {{.current_year}}",,May I please know the date of payment? Example first january {{.current_year}}.,,,,,,,
PAYMENT_ALREADY_MADE_DATE_SILENCE_2,,"कृपया payment  date, फिर महीना  और फिर साल बताएं।",,"Please state the payment date, then the month and then the year.",,,,,,,
PAYMENT_ALREADY_MADE_DATE_OOS_1,,"मुझे खेद है की मैं इसका सही उत्तर नहीं दे पाऊँगी। आपकी मदद करने के लिए, हमारे expert जल्द ही आपसे संपर्क करेंगे।",,"Unfortunately, I cannot answer this. To help you, our expert will get in touch with you soon.",,,,,,,
PAYMENT_ALREADY_MADE_DATE_OOD_1,,कृपया क्या आप फिर से बता सकते हैं?,,Can you please repeat that?,,,,,,,
PAYMENT_ALREADY_MADE_CONFIRMATION_1,,तो आपने {{.payment_date_formatted}}  को {{.payment_mode}} pay किया है| क्या यह सही है?,,"So, you have made an {{.payment_mode}} payment on {{.payment_date}}. Is that correct?",,,,,,,
PAYMENT_ALREADY_MADE_CONFIRMATION_GREETING_1,,नमस्कार! क्या आप confirm करें सकते हैं की आपने {{.payment_date_formatted}} को {{.payment_mode}} pay किया है| क्या यह सही है?,,"Hello, can you please confirm if you made an {{.payment_mode}} payment on {{.payment_date}}?",,,,,,,
PAYMENT_ALREADY_MADE_CONFIRMATION_REPEAT_1,,क्या आप confirm करें सकते हैं की आपने {{.payment_date_formatted}} को {{.payment_mode}} pay किया है| क्या यह सही है?,,Can you please confirm if you made an {{.payment_mode}} payment on {{.payment_date}}?,,,,,,,
PAYMENT_ALREADY_MADE_CONFIRMATION_REPEAT_2,,"अगर आपने {{.payment_date_formatted}} को {{.payment_mode}} pay किया है तो कहिये ""YES"" यदि नहीं तो कहिये ""NO""",,"If you made an {{.payment_mode}} payment on {{.payment_date_formatted}}then say ""yes"", otherwise say ""no"".",,,,,,,
PAYMENT_ALREADY_MADE_CONFIRMATION_SILENCE_1,,कृपया confirm करें आपने {{.payment_date_formatted}} को {{.payment_mode}} pay किया है|,,"Please confirm if you completed the renewal payment on {{.payment_date}}, {{.payment_mode}}.",,,,,,,
PAYMENT_ALREADY_MADE_CONFIRMATION_SILENCE_2,,"अगर आपने {{.payment_date_formatted}} को {{.payment_mode}} pay किया है तो कहिये ""YES"" यदि नहीं तो कहिये ""NO""",,"Kindly say ""yes"" if you made an {{.payment_mode}} payment on {{.payment_date}}, otherwise say ""no"".",,,,,,,
PAYMENT_ALREADY_MADE_CONFIRMATION_OOS_1,,"मुझे खेद है की मैं इसका सही उत्तर नहीं दे पाऊँगी। आपकी मदद करने के लिए, हमारे expert जल्द ही आपसे संपर्क करेंगे।",,"Unfortunately, I cannot answer this. To help you, our expert will get in touch with you soon.",,,,,,,
PAYMENT_ALREADY_MADE_CONFIRMATION_OOD_1,,कृपया क्या आप फिर से बता सकते हैं?,,Can you please repeat that?,,,,,,,
HANGUP_PAYMENT_ALREADY_MADE_1,,"ठीक है, जैसे ही आपका renewal payment  हमारे सिस्टम में reflect होगा हम आपको आपके registered मोबाइल नंबर पर सूचित करेंगे। धन्यवाद!",,Alright.  As soon as the renewal payment is updated on our system we will let you know on your registered contact details. Thank you.,,,,,,,
PAYMENT_ALREADY_MADE_QUERY_1,,"ठीक है, आप कौन सी जानकारी बदलना चाहेंगे?",,"Oh okay, which of the details would you like to change? The payment date or the payment mode?",,,,,,,
PAYMENT_ALREADY_MADE_QUERY_GREETING_1,,नमस्कार! मैं पूछ रही थी कि आप कौन सी जानकारी बदलना चाहेंगे?,,"Hello, I was asking which information would you like to change?",,,,,,,
PAYMENT_ALREADY_MADE_QUERY_REPEAT_1,,क्या आप कृपया मुझे बता सकते हैं कि आप payment  की date बदलना चाहते हैं या payment  का mode ?,,Please tell me if you want to change the payment date or payment mode?,,,,,,,
PAYMENT_ALREADY_MADE_QUERY_REPEAT_2,,"आप कौनसा विकल्प बदलना चाहते हैं, payment  की date या payment  का mode ?",,Which option do you wish to change? Payment date or payment mode.,,,,,,,
PAYMENT_ALREADY_MADE_QUERY_SILENCE_1,,"अगर आप payment  की date बदलना चाहते हैं तो कहिये ""Payment date"" और अगर आप payment  का mode बदलना चाहते हैं तो कहिये ""Payment mode""",,"If you want to change the payment date the say ""payment date"", otherwise say ""payment mode"".",,,,,,,
PAYMENT_ALREADY_MADE_QUERY_SILENCE_2,,"जानकारी बदलने के लिए या तो ""Payment date"" या ""Payment mode"" कहें।",,To edit information either say payment date or payment mode.,,,,,,,
PAYMENT_ALREADY_MADE_QUERY_OOS_1,,"मुझे खेद है की मैं इसका सही उत्तर नहीं दे पाऊँगी। आपकी मदद करने के लिए, हमारे expert जल्द ही आपसे संपर्क करेंगे।",,"Unfortunately, I cannot answer this. To help you, our expert will get in touch with you soon.",,,,,,,
PAYMENT_ALREADY_MADE_QUERY_OOD_1,,कृपया क्या आप फिर से बता सकते हैं?,,Can you please repeat that?,,,,,,,
PAYMENT_ALREADY_MADE_DATE_AGAIN_1,,"समझ गई| क्या आप payment date, दिन, महीना और साल के format में दोहरा सकते हैं?",,"Understood, can you please repeate the payment date for me. You can say first january {{.current_year}}.",,,,,,,
PAYMENT_ALREADY_MADE_DATE_AGAIN_GREETING_1,,"नमस्कार! क्या आप payment  की date, दिन, महीना  और साल के format में दोहरा सकते हैं?",,"Hello, can you please repeate the payment date for me in the format of date, month and year.",,,,,,,
PAYMENT_ALREADY_MADE_DATE_AGAIN_REPEAT_1,,"कृपया payment  की date, दिन, महीना  और साल के format में बताएं| जैसे की आप कह सकते हैं 1st January {{.current_year}}",,"Please repeate the payment date for me in the format of date, month and year. Example, first january {{.current_year}}.",,,,,,,
PAYMENT_ALREADY_MADE_DATE_AGAIN_REPEAT_2,,"कृपया payment  की date, दिन, महीना  और साल के format में बताकर मेरी सहायता करें| जैसे की आप कह सकते हैं 1st January {{.current_year}}",,"Please help me with the payment date in the stated format. Example, first january {{.current_year}}.",,,,,,,
PAYMENT_ALREADY_MADE_DATE_AGAIN_SILENCE_1,,"कृपया payment  की date, दिन, महीना  और साल के format में बताएं| जैसे की आप कह सकते हैं 1st January {{.current_year}}",,"Kindly, state the payment date in the formate of date, then month, and then the year. Example, first january {{.current_year}}.",,,,,,,
PAYMENT_ALREADY_MADE_DATE_AGAIN_SILENCE_2,,"कृपया payment  की date, फिर महीना  और फिर साल बताएं। जैसे की आप कह सकते हैं 1st January {{.current_year}}",,"Please state the payment date, then the month and then the year. Example, first january {{.current_year}}.",,,,,,,
PAYMENT_ALREADY_MADE_DATE_AGAIN_OOS_1,,"मुझे खेद है की मैं इसका सही उत्तर नहीं दे पाऊँगी। आपकी मदद करने के लिए, हमारे expert जल्द ही आपसे संपर्क करेंगे।",,"Unfortunately, I cannot answer this. To help you, our expert will get in touch with you soon.",,,,,,,
PAYMENT_ALREADY_MADE_DATE_AGAIN_OOD_1,,कृपया क्या आप फिर से बता सकते हैं?,,Can you please repeat that?,,,,,,,
PAYMENT_ALREADY_MADE_MODE_AGAIN_1,,"ठीक है, क्या आप कृपया confirm कर सकते हैं कि यह online payment  था या offline?",,"Got it, can you please re-confirm, if it was an online payment or an offline payment?",,,,,,,
PAYMENT_ALREADY_MADE_MODE_AGAIN_GREETING_1,,नमस्कार! कृपया दोबारा confirm करें कि यह online payment  था या offline?,,"Hello, please re-confirm, if it was an online payment or an offline payment?",,,,,,,
PAYMENT_ALREADY_MADE_MODE_AGAIN_REPEAT_1,,क्या आप कृपया दोहरा सकते हैं कि यह payment  online था या offline?,,Can you please repeat if it was an online payment or offline?,,,,,,,
PAYMENT_ALREADY_MADE_MODE_AGAIN_REPEAT_2,,"अगर आपने नज़दीकी शाखा जाकर cheque या cash के माध्यम से payment  किया है तो कहिये ""offline"" यदि नहीं तो कहिये ""online""    ",,"If you visited the branch or paid using means like cheque or chase then say ""offline"", otherwise say ""online"".",,,,,,,
PAYMENT_ALREADY_MADE_MODE_AGAIN_SILENCE_1,,क्या आप मुझे बता सकते हैं की अपने नज़दीकी शाखा जाकर payment  किया है या online? ,,Can you please tell me if you visited our branch to make the payment or paid it online.,,,,,,,
PAYMENT_ALREADY_MADE_MODE_AGAIN_SILENCE_2,,"अगर आपने नज़दीकी शाखा जाकर cheque या cash के माध्यम से payment  किया है तो कहिये ""offline"" यदि नहीं तो कहिये ""online""    ",,"If you paid using cheque or cash then say ""offline"" otherwise say ""online"".",,,,,,,
PAYMENT_ALREADY_MADE_MODE_AGAIN_OOS_1,,"मुझे खेद है की मैं इसका सही उत्तर नहीं दे पाऊँगी। आपकी मदद करने के लिए, हमारे expert जल्द ही आपसे संपर्क करेंगे।",,"Unfortunately, I cannot answer this. To help you, our expert will get in touch with you soon.",,,,,,,
PAYMENT_ALREADY_MADE_MODE_AGAIN_OOD_1,,कृपया क्या आप फिर से बता सकते हैं?,,Can you please repeat that?,,,,,,,
PAYMENT_ALREADY_MADE_DATE_AGAIN_B_1,,"समझ गई, कृपया payment date, दिन, महीना  और साल के format में बताएं|",,"Noted. And, please repeat the payment date. You can say first january {{.current_year}}.",,,,,,,
PAYMENT_ALREADY_MADE_DATE_AGAIN_B_GREETING_1,,"नमस्कार! कृपया payment date, दिन, महीना  और साल के format में बताएं| जैसे की आप कह सकते हैं 1st January {{.current_year}}",,"Hello,  please repeat the payment date in the format of date, month and year. Example first january {{.current_year}}.",,,,,,,
PAYMENT_ALREADY_MADE_DATE_AGAIN_B_REPEAT_1,,"क्या आप payment date, दिन, महीना  और साल के format में दोहरा सकते हैं? जैसे की आप कह सकते हैं 1st January {{.current_year}}",,Can you repeat the date of payment in the format of date month and year? Example first january {{.current_year}}.,,,,,,,
PAYMENT_ALREADY_MADE_DATE_AGAIN_B_REPEAT_2,,"कृपया payment  date, दिन, महीना  और साल के format में बताएं| जैसे की आप कह सकते हैं 1st January {{.current_year}}",,"Please state the payment date in the date, month and year format. Like first january {{.current_year}}.",,,,,,,
PAYMENT_ALREADY_MADE_DATE_AGAIN_B_SILENCE_1,,कृपया payment  date दोहराएं| जैसे की आप कह सकते हैं 1st January {{.current_year}},,Please repeat the date of payment? Example first january {{.current_year}}.,,,,,,,
PAYMENT_ALREADY_MADE_DATE_AGAIN_B_SILENCE_2,,"कृपया payment  date, दिन, महीना  और साल के format में दोहराएं| जैसे की आप कह सकते हैं 1st January {{.current_year}}",,"Please repeat the payment date, then the month and then the year. Example first january {{.current_year}}.",,,,,,,
PAYMENT_ALREADY_MADE_DATE_AGAIN_B_OOS_1,,"दुर्भाग्य से, मैं इसका उत्तर नहीं दे सकती। आपकी मदद करने के लिए, हमारे expert जल्द ही आपसे संपर्क करेंगे।",,"Unfortunately, I cannot answer this. To help you, our expert will get in touch with you soon.",,,,,,,
PAYMENT_ALREADY_MADE_DATE_AGAIN_B_OOD_1,,कृपया क्या आप फिर से बता सकते हैं?,,Can you please repeat that?,,,,,,,
